249,SAINT BENOIST SUR MER,85
250,SAINT CHRISTOPHE DU LIGNERON,85
251,SAINT CHRISTOPHE LA CHARTREUSE,85
252,SAINT CYR DES GÂTS,85
253,SAINT CYR EN TALMONDAIS,85
254,SAINT DENIS DU PAYRÉ,85
255,SAINT DENIS LA CHEVASSE,85
256,SAINTE CÉCILE,85
257,SAINTE CHRISTINE,85
258,SAINTE FLAIVE DES LOUPS,85
259,SAINTE FLORENCE,85
260,SAINTE FOY,85
261,SAINTE GEMME LA PLAINE,85
262,SAINTE GEMME LES BRUYÈRES,85
263,SAINTE HERMINE,85
264,SAINTE PEXINE,85
265,SAINTE PEZENNE,79
266,SAINTE RADÉGONDE DES NOYERS,85
267,SAINTE RADÉGONDE LA VINEUSE,85
268,SAINT ÉTIENNE DE BRILLOUET,85
269,SAINT ÉTIENNE DE MER MORTE,44
270,SAINT ÉTIENNE DES LOGES,85
271,SAINT ÉTIENNE DU BOIS,85
272,SAINT FLORENT DES BOIS,85
273,SAINT FULGENT,85
274,SAINT GEORGES DE MONTAIGU,85
275,SAINT GEORGES DE POINTINDOUX,85
276,SAINT GERMAIN DE PRINÇAY,85
277,SAINT GERMAIN L'AIGUILLER,85
278,SAINT GERVAIS,85
279,SAINT GILLES SUR VIE,85
280,SAINT HERMAND,85
281,SAINT HILAIRE DE LOULAY,85
282,SAINT HILAIRE DE MORTAGNE,85
283,SAINT HILAIRE DE RIEZ,85
284,SAINT HILAIRE DES LOGES (... SUR L'AUTISE),85
285,SAINT HILAIRE DE TALMONT,85
286,SAINT HILAIRE DE VOUST,85
287,SAINT HILAIRE DU BOIS,85
288,SAINT HILAIRE LA FORÊT,85
289,SAINT HILAIRE LE VOUHIS,85
290,SAINT JEAN DE BEUGNÉ,85
291,SAINT JEAN DE MONTS,85
292,SAINT JOUIN DE MILLY,79
293,SAINT JOUIN SOUS CHÂTILLON,79
294,SAINT JUIRE CHAMPGILLON (= CHAMPGILLON),85
295,SAINT JUIRE LA PLAINE,85
296,SAINT JULIEN DES LANDES,85
297,SAINT LAURENT DE LA SALLE,85
298,SAINT LAURENT SUR SÈVRE,85
299,SAINT LAURS,79
300,SAINT LUMINE DE CLISSON,44
301,SAINT MAIXENT DE BEUGNÉ,79
302,SAINT MARSAULT,79
303,SAINT MARS DES PRÉS,85
304,SAINT MARS LA RÉORTHE,85
305,SAINT MARTIN DE BREM (= BREM SUR MER),85
306,SAINT MARTIN DE FRAIGNEAU,85
307,SAINT MARTIN DES NOYERS,85
308,SAINT MARTIN DES TILLEULS,85
309,SAINT MARTIN LARS EN SAINTE HERMINE,85
310,SAINT MARTIN SOUS MOUZEUIL,85
311,SAINT MAURICE DES NOUES,85
312,SAINT MAURICE LE GIRARD,85
313,SAINT MÉDARD DES PRÉS,85
314,SAINT MESMIN,85
315,SAINT MICHEL EN L'HERM,85
316,SAINT MICHEL LE CLOUCQ,85
317,SAINT NICOLAS DE BREM,85
318,SAINT OUEN DES GÂTS,85
319,SAINT PAUL EN GÂTINE,79
320,SAINT PAUL EN PAREDS,85
321,SAINT PAUL MONT PENIT,85
322,SAINT PHILBERT DE BOUAINE,85
323,SAINT PHILBERT DU PONT CHARRAULT,85
324,SAINT PIERRE DES ÉCHAUBROGNES,79
325,SAINT PIERRE DU CHEMIN,85
326,SAINT PIERRE LE VIEUX,85
